Volatge (V),Frequency,Current
2.492140762,8125652,1598
2.490674487,8125412,1597
2.489208211,8125460,1597
2.489208211,8125556,1596
2.487741936,8125340,1595
2.48627566,8125436,1595
2.48627566,8126324,1594
2.48627566,8126612,1594
2.484809385,8125796,1593
2.484809385,8125868,1593
2.484809385,8126156,1592
2.484809385,8125652,1591
2.483343109,8126060,1591
2.483343109,8126060,1590
2.483343109,8126516,1590
2.483343109,8126780,1590
2.481876833,8126972,1589
2.480410557,8126732,1589
2.480410557,8126804,1588
2.478944282,8126588,1588
2.477478006,8126444,1587
2.476011731,8127164,1586
2.476011731,8126732,1586
2.477478006,8126828,1586
2.474545455,8127188,1585
2.474545455,8126876,1584
2.471612903,8127476,1583
2.471612903,8127476,1582
2.471612903,8127548,1582
2.470146628,8127788,1581
2.470146628,8127980,1580
2.468680352,8128316,1579
2.465747801,8128388,1578
2.465747801,8128532,1578
2.462815249,8128148,1577
2.464281525,8128340,1576
2.462815249,8128532,1575
2.459882698,8128628,1574
2.459882698,8129636,1573
2.456950147,8129852,1572
2.455483871,8129684,1571
2.455483871,8130164,1570
2.451085044,8130836,1568
2.451085044,8130644,1567
2.448152493,8131532,1566
2.446686217,8131508,1564
2.445219941,8131100,1563
2.445219941,8131532,1562
2.440821115,8131508,1561
2.439354839,8131220,1559
2.439354839,8132372,1559
2.439354839,8132156,1557
2.437888563,8132468,1556
